,1,2,3,4,5,6
0,BD,0.3895,2,0.2567,ABD,0.1285
1,AB,0.385,3,0.2563,ABE,0.1146
2,AE,0.3504,1,0.2844,BDE,0.112
3,AC,0.3263,10,0.205,ABH,0.1089
4,BE,0.3166,-,-,BDH,0.1031
5,AD,0.315,7,0.2339,ABG,0.1026
6,DE,0.3078,5,0.2462,ABC,0.1009
7,BC,0.2815,-,-,ACE,0.0994
8,BH,0.2778,-,-,BEH,0.0993
9,AG,0.275,-,-,ADE,0.0956
10,AH,0.2639,8,0.2111,AEG,0.0919
11,EH,0.2593,6,0.246,AEH,0.0898
12,DH,0.2585,-,-,ACD,0.0889
13,EJ,0.2529,4,0.2499,BCD,0.0848
14,GH,0.2503,-,-,ADH,0.0787
15,EG,0.2495,9,0.2087,EHJ,0.0754
16,BG,0.2438,-,-,BEG,0.0747
17,CD,0.2383,-,-,EGH,0.0742
18,CE,0.238,-,-,ACG,0.0741
19,IK,0.2232,-,-,BCE,0.0734
