,1,2,3,4,5,6,7,8
0,BD,0.3895,2,0.6824,ABD,0.1285,2,0.5189
1,AB,0.385,1,0.7048,ABE,0.1146,1,0.5198
2,AE,0.3504,4,0.6737,BDE,0.112,3,0.4841
3,AC,0.3263,10,0.5987,ABH,0.1089,5,0.4633
4,BE,0.3166,6,0.6572,BDH,0.1031,8,0.4365
5,AD,0.315,9,0.6178,ABG,0.1026,9,0.435
6,DE,0.3078,3,0.6824,ABC,0.1009,15,0.3988
7,BC,0.2815,20,0.4588,ACE,0.0994,20,0.3731
8,BH,0.2778,11,0.5853,BEH,0.0993,10,0.4314
9,AG,0.275,12,0.5785,ADE,0.0956,4,0.4669
10,AH,0.2639,13,0.5767,AEG,0.0919,11,0.4263
11,EH,0.2593,5,0.6691,AEH,0.0898,7,0.4452
12,DH,0.2585,7,0.6239,ACD,0.0889,21,0.3661
13,EJ,0.2529,17,0.5045,BCD,0.0848,25,0.3391
14,GH,0.2503,16,0.5396,ADH,0.0787,12,0.4056
15,EG,0.2495,8,0.6207,EHJ,0.0754,23,0.3532
16,BG,0.2438,15,0.5427,BEG,0.0747,18,0.3828
17,CD,0.2383,25,0.4242,EGH,0.0742,14,0.3992
18,CE,0.238,23,0.4353,ACG,0.0741,34,0.2977
19,IK,0.2232,57,0.2812,BCE,0.0734,28,0.3206
